place,NOC,name
Kolosovka,RUS,Stadion Kolos
Kongsberg,NOR,Idrætsplasse
Kongsvinger,NOR,Holt Stadion
Kōriyam,JPN,Fukushima District Rink
Kostanaj,KAZ,Stadion Kostanaj
Koumi,JPN,Matsubara Lake Plateau Skating Center
Krasnoyarsk,RUS,Stadion Krasnojarsk
Kristiansand,NOR,Kristiansand Stadion
Kristiansund,NOR,Nordea Kunstisbane
Kristinehamn,SWE,Björkvalle
Kuopio,FIN,Linnanlahden rata
Kushiro,JPN,Yanagimachi
Kvarnsveden,SWE,Idrottsplatsen
Lake Placid,USA,James B. Sheffield Olympic Skating Rink
Larvik,NOR,Fram Stadion
Lathi,FIN,Kisapuisto
Lærda,NOR,Lærdalsøyri 
Leeuwarden,NED,Elfstendenhal
Leeuwarden,NED,Groote Wielen
Leningrad,URS,Dinamo Stadion
Leningrad,URS,unknown
Leningrad,URS,unknown
Leningrad,URS,unknown
Leningrad,URS,unknown
Leningrad,URS,Winter Stadion
Leytestone,GBR,unknown
Lillehammer,NOR,Stampesletta Idrettsplass
Lisleby,NOR,Sentralidrettsanlegget
Lubin,POL,Tor Lodowy Lubin
Lule�,SWE,Stadion Delfinen
Madonna di Campiglio,ITA,Pista Olimpica
Makinsk,KAZ,Stadion Torpedo
Medeo,KAZ,Kompleks Medeo
Milwaukee,USA,Pettit National Ice Center
Minsk,BLR,Minsk-Arena
Minusinsk,RUS,
Misurina,ITA,Lagua Misurina
Montréa,CAN,Crystal Stadium
Montréa,CAN,Stade Olympique
Montsjegorsk,RUS,Stadion Sports School No.3
Morioka,JPN,Iwate Prefecture Public Skate Rink
Moscow,URS,Bivsei Selkhozvlstavski
Moscow,RUS,Devichye Pole
Moscow,URS,Dinamo
Moscow,RUS,Iskra Stadion
Moscow,RUS,Krylatskoje
Moscow,URS,Krylja Sovjetov Stadion
Moscow,URS,Lenin Stadion
Moscow,URS,Lille Dinamo
Moscow,RUS,Patriarshiye Prudy
Moscow,RUS,Sokol-Gymnastics
Moscow,URS,Sokolniki-TsDKA
Moscow,URS,Stadion Junikh Pionerov
Moscow,URS,Stadion Lokomotiv
Moscow,URS,Stadion Nauka
Moscow,URS,Torpedo Stadion
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,unknown
Moscow,URS,Vodnij Dinamo
Moss,NOR,Malakoff
Moss,NOR,Melløs Stadio
Motala,SWE,Isstadion Motala
Münche,GER,Eisstadion am Ostpark
Murmansk,RUS,Stroitel
Murom,RUS,Stadion Lokomotiv
Nagano,JPN,M-Wave
Nakashibetsu,JPN,Nakashibetsu Sports Park Speed Skating Rink
Nannestad,NOR,Bjerke Skøyteban
Narvik,NOR,Fagernes Idrettsbane
Narvik,NOR,Stadion Narvik
Neglingeviken,SWE,Saltsjöbane
Nieuwe Niedorp,NED,unknown
Nijmegen,NED,Triavium
Nikk�,JPN,Ardel Kirifuri Sports Valley
Nikk�,JPN,Skating Center
Nizhny Novgorod,RUS,Stadion Trud
Nord-Aurdal-Fagernes,NOR,Fagernes Stadion
Notodden,NOR,Notodden Sportsplass
Novotsjeboksarsk,RUS,Stadion Novotsjeboksarsk
Nur-Sultan (Astana),KAZ,Sportpaleis Alau
Obihiro,JPN,Meiji Hokkaido-Tokachi Oval
Obihiro,JPN,No Mori Skating Centre
Okaya,JPN,Yamabiko
Olenegorsk,RUS,Tsentralnyi Stadion
Omsk,RUS,Krasnaja Zvezda
Oppdal,NOR,Oppdal Stadion
�rebro,SWE,Behrn Arena
�rnsk�ldsvik,SWE,Nya Idrottsplatsen
Oslo,NOR,Bislett Stadion
Oslo,NOR,Dæleneng
Oslo,NOR,Frogner Stadion
Oslo,NOR,Frognerkilen
Oslo,NOR,Gamle Frogner Stadion
Oslo,NOR,Valle Hovin Kunstisbane
�stersund,SWE,Fyrvalla
Ottawa,CAN,Brewer Park Oval
Oudkarspel,NED,IJsbaan Oudkarspel
Oulu,FIN,Keskusentän Luistinrat
Paterswolde,NED,Paterswoldsche Meer
Perm,RUS,Junosti / Pionerov i Skjkolnikov
Pori,FIN,Porin Tekojäära
Prince George,CAN,Exhibition Park Speed Skating Oval
Pujon,PRK,Stadion Pujon
Qiqihar,CHN,Indoor Icerink
Rättvi,SWE,Hedlundsbanan
Red Deer,CAN,Family Skating Oval Ice Skating Rink
Regina,CAN,Mount Pleasant Oval
Richmond,CAN,Richmond Olympic Oval
Riga,LAT,ASK Stadion
Roseville,USA,John Rose Minnesota Oval
Rotterdam,NED,Kralingse plas
Rotterdam,NED,Schaatsbaan Rotterdam
Røro,NOR,�ra Stadion
Sainte-Foy,CAN,Gaétan Boucher Ova
Sala,SWE,Lärkbacke
Salt Lake City,USA,Utah Olympic Oval
Sandefjord,NOR,Bugårdsparke
Sandviken,SWE,Göransson Aren
St. Moritz,SUI,Badrutts Park
Sanok,POL,Tor Blonie
Sapporo,JPN,Makomanai Skating Centre
Sapporo,JPN,Nakajima Park
Sarajevo,YUG,Zetra
Saskatoon,CAN,Clarence Downey Oval
Savalen,NOR,Idrettsplass
Savalen,NOR,Savalen Kunstisbanen
Schtschutschinsk,KAZ,
Seinäjok,FIN,Jääurheilukesk
Selenginsk,RUS,Icerink Selenginsk
Seoul,KOR,Taenung Outdoorrink
Seoul,KOR,Taereung Indoor Ice Rink
Severouralsk,RUS,Severouralsk
Seversk,RUS,
Shenyang,CHN,Bayi Speed Skating Oval
Shushenskoe,RUS,Icerink Shushenskoe
Saint Petersburg,RUS,
Saint Petersburg,RUS,Demyana Bednogo street
Saint Petersburg,RUS,Joesoepovski Park
Saint Petersburg,RUS,Market Place
Saint Petersburg,RUS,Petrovski
Skien,NOR,Skien Isstadion
Skjervø,NOR,Skjervøy Stadio
Skutskä,SWE,Bandyarena
Sortavala,FIN,unknown
Sochi,RUS,Adler Arena
Squaw Valley,USA,Olympic Skating Rink
Stamford,GBR,unknown
Stange,NOR,Idrettspark
Stavanger,NOR,Sørmarka Aren
Stockholm,SWE,Djurgårdsbrunnsvike
Stockholm,SWE,�stermalms Idrottsplats
Stockholm,SWE,Stockholm Nybroviken
Stockholm,SWE,Stockholm Stadion
Stockholm S,SWE,Söderstadion Johannesho
Stord,NOR,Stord Idrettspark
`trbsk� Pleso,HUN,`trbsk� Pleso
